,a_ID,CEP,ano_ingresso,periodo_ingresso,status,ano_disciplina,periodo_disciplina,nota,disciplina_ID,status.disciplina,enem-matematica,enem-nota,enem-redacao,enen-nota
203,132,59064230,2014,1,ATIVO,2016,1,5.3,0,Aprovado,1946,0,720,625
204,132,59064230,2014,1,ATIVO,2016,2,8.3,0,Aprovado,1946,0,720,625
205,133,5163000,2014,1,ATIVO,2014,2,8.4,0,Aprovado,2125,0,740,667
206,134,0,2014,1,ATIVO,2014,1,7.6,0,Aprovado,0,0,0,
207,135,59074420,2014,1,CANCELADO,2014,2,0,0,Reprovado,537,0,580,581
208,136,59650000,2014,1,ATIVO,2014,2,9.7,0,Aprovado,2135,0,600,639
209,137,59122080,2014,1,ATIVO,2014,2,0.1,0,Reprovado,2180,0,440,604
210,138,76963600,2014,1,CANCELADO,2014,2,0,0,Reprovado,1849,0,720,631
211,139,59090486,2014,1,ATIVO,2015,2,1.4,0,Reprovado,2077,0,660,623
212,140,59080040,2014,1,TRANCADO,2014,2,1.3,0,Reprovado,2016,0,720,637
213,140,59080040,2014,1,TRANCADO,2015,1,5.8,0,Aprovado,2016,0,720,637
214,141,59052220,2014,1,FORMANDO,2014,1,7.6,0,Aprovado,2378,0,680,683
215,142,59138490,2014,1,CANCELADO,2014,2,0,0,Reprovado,504,0,600,546
216,142,59138490,2014,1,CANCELADO,2015,1,0.1,0,Reprovado,504,0,600,546
217,142,59138490,2014,1,CANCELADO,2015,2,1.2,0,Reprovado,504,0,600,546
218,142,59138490,2014,1,CANCELADO,2016,1,1,0,Reprovado,504,0,600,546
219,142,59138490,2014,1,CANCELADO,2016,2,1.7,0,Reprovado,504,0,600,546
220,143,59012060,2014,1,CANCELADO,2014,2,0.2,0,Reprovado,1789,0,800,637
221,143,59012060,2014,1,CANCELADO,2015,1,0.1,0,Reprovado,1789,0,800,637
222,144,59070340,2014,1,FORMANDO,2014,2,8.9,0,Aprovado,2265,0,620,657
223,145,59148783,2014,1,ATIVO,2014,2,2.7,0,Reprovado,2163,0,600,650
224,145,59148783,2014,1,ATIVO,2015,1,9.5,0,Aprovado,2163,0,600,650
225,146,59150666,2014,1,ATIVO,2014,2,6.1,0,Aprovado,1985,0,720,647
226,147,59500000,2014,1,ATIVO,2014,1,7.4,0,Aprovado,2199,0,580,653
227,147,59500000,2014,1,ATIVO,2014,2,9.7,0,Aprovado,2199,0,580,653
228,148,0,2014,1,CANCELADO,2014,2,0,0,Reprovado,0,0,0,
229,149,59108000,2014,1,CANCELADO,2014,2,4.1,0,Reprovado,2019,0,760,647
230,150,59120638,2014,1,ATIVO,2015,1,9.4,0,Aprovado,2109,0,960,720
231,151,59032230,2014,1,CONCLUIDO,2014,1,7.7,0,Aprovado,2150,0,540,630
232,152,59150220,2014,1,ATIVO,2014,2,7.3,0,Aprovado,2065,0,620,660
233,153,59064320,2014,1,ATIVO,2014,1,1.8,0,Reprovado,2209,0,720,636
234,153,59064320,2014,1,ATIVO,2014,2,2.4,0,Reprovado,2209,0,720,636
235,153,59064320,2014,1,ATIVO,2015,1,4.2,0,Reprovado,2209,0,720,636
236,153,59064320,2014,1,ATIVO,2015,2,5.6,0,Aprovado,2209,0,720,636
237,154,59086360,2014,1,ATIVO,2014,2,9.4,0,Aprovado,2085,0,940,717
238,155,59343000,2014,1,ATIVO,2014,1,4.7,0,Reprovado,1905,0,720,632
239,155,59343000,2014,1,ATIVO,2014,2,5.9,0,Aprovado,1905,0,720,632
240,156,59374000,2014,1,ATIVO,2014,1,7.4,0,Aprovado,784,0,780,714
241,157,59056140,2014,1,ATIVO,2014,2,7.2,0,Aprovado,2068,0,580,628
242,158,59153150,2014,1,ATIVO,2014,2,5.6,0,Aprovado,638,0,460,530
243,159,46400000,2014,1,CANCELADO,2014,2,0.5,0,Reprovado,2154,0,800,677
244,160,59122390,2014,1,ATIVO,2015,1,10,0,Aprovado,2243,0,680,650
245,161,59082190,2014,1,CANCELADO,2015,1,3.1,0,Reprovado,1993,0,800,640
246,162,59030470,2014,1,ATIVO,2014,2,9,0,Aprovado,2428,0,680,704
247,163,59072610,2014,1,TRANCADO,2014,2,1.9,0,Reprovado,1860,0,740,603
